192.168.56.1, 2020-07-06 12:36:28, GET, /, HTTP/1.1, 303, 0.004286
192.168.56.1, 2020-07-06 12:36:28, GET, /welcome/default/index, HTTP/1.1, 200, 0.347302
192.168.56.1, 2020-07-06 12:36:28, GET, /welcome/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.000779
192.168.56.1, 2020-07-06 12:36:28, GET, /welcome/static/css/web2py-bootstrap4.css, HTTP/1.1, 200, 0.000671
192.168.56.1, 2020-07-06 12:36:28, GET, /welcome/static/css/calendar.css, HTTP/1.1, 200, 0.000804
192.168.56.1, 2020-07-06 12:36:28, GET, /welcome/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 200, 0.002179
192.168.56.1, 2020-07-06 12:36:28, GET, /welcome/static/js/jquery.js, HTTP/1.1, 200, 0.001181
192.168.56.1, 2020-07-06 12:36:28, GET, /welcome/static/js/calendar.js, HTTP/1.1, 200, 0.015565
192.168.56.1, 2020-07-06 12:36:28, GET, /welcome/static/js/web2py.js, HTTP/1.1, 200, 0.001539
192.168.56.1, 2020-07-06 12:36:28, GET, /welcome/static/js/web2py-bootstrap4.js, HTTP/1.1, 200, 0.000725
192.168.56.1, 2020-07-06 12:36:28, GET, /welcome/static/js/bootstrap.bundle.min.js, HTTP/1.1, 200, 0.000818
192.168.56.1, 2020-07-06 12:36:28, GET, /welcome/static/images/background.jpg, HTTP/1.1, 404, 0.000561
192.168.56.1, 2020-07-06 12:36:28, GET, /welcome/static/images/favicon.ico, HTTP/1.1, 200, 0.000360
192.168.56.1, 2020-07-06 12:36:36, GET, /welcome/default/user/login, HTTP/1.1, 200, 0.034528
192.168.56.1, 2020-07-06 12:36:43, POST, /welcome/default/user/login, HTTP/1.1, 200, 0.029697
192.168.56.1, 2020-07-06 12:36:55, GET, /admin/default/site, HTTP/1.1, 200, 0.512866
192.168.56.1, 2020-07-06 12:36:55, GET, /favicon.ico, HTTP/1.1, 400, 0.000201
192.168.56.1, 2020-07-06 12:37:01, GET, /welcome/default/user/login, HTTP/1.1, 200, 0.033622
192.168.56.1, 2020-07-06 12:37:06, GET, /welcome/default/index, HTTP/1.1, 200, 0.032811
192.168.56.1, 2020-07-06 12:37:06, GET, /welcome/static/images/background.jpg, HTTP/1.1, 404, 0.000525
192.168.56.1, 2020-07-06 12:37:11, GET, /admin/default/index, HTTP/1.1, 200, 0.004652
192.168.56.1, 2020-07-06 12:37:11, GET, /favicon.ico, HTTP/1.1, 400, 0.000407
192.168.56.1, 2020-07-06 12:42:37, GET, /, HTTP/1.1, 303, 0.002219
192.168.56.1, 2020-07-06 12:42:37, GET, /welcome/default/index, HTTP/1.1, 200, 0.116566
192.168.56.1, 2020-07-06 12:42:37, GET, /welcome/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.001454
192.168.56.1, 2020-07-06 12:42:37, GET, /welcome/static/css/calendar.css, HTTP/1.1, 200, 0.000665
192.168.56.1, 2020-07-06 12:42:37, GET, /welcome/static/css/web2py-bootstrap4.css, HTTP/1.1, 200, 0.000564
192.168.56.1, 2020-07-06 12:42:37, GET, /welcome/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 200, 0.000817
192.168.56.1, 2020-07-06 12:42:37, GET, /welcome/static/js/jquery.js, HTTP/1.1, 200, 0.000701
192.168.56.1, 2020-07-06 12:42:37, GET, /welcome/static/js/web2py.js, HTTP/1.1, 200, 0.000596
192.168.56.1, 2020-07-06 12:42:37, GET, /welcome/static/js/bootstrap.bundle.min.js, HTTP/1.1, 200, 0.000715
192.168.56.1, 2020-07-06 12:42:37, GET, /welcome/static/js/web2py-bootstrap4.js, HTTP/1.1, 200, 0.000728
192.168.56.1, 2020-07-06 12:42:37, GET, /welcome/static/js/calendar.js, HTTP/1.1, 200, 0.000513
192.168.56.1, 2020-07-06 12:42:37, GET, /welcome/static/images/background.jpg, HTTP/1.1, 404, 0.000594
192.168.56.1, 2020-07-06 12:42:37, GET, /welcome/static/images/favicon.ico, HTTP/1.1, 200, 0.001299
192.168.56.1, 2020-07-06 12:43:07, GET, /welcome/default/index, HTTP/1.1, 200, 0.103975
192.168.56.1, 2020-07-06 12:43:07, GET, /welcome/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.000872
